C,C,W,W,W,D,D,G,UTIL
Max Domi (11669215),Mathew Barzal (11669251),Andreas Athanasiou (11669681),Wayne Simmonds (11669755),Micheal Haley (11670087),Jake Gardiner (11670497),Torey Krug (11670397),Calvin Petersen (11671027),Patrick Kane (11669627)
Tanner Fritz (11669493),Evgeni Malkin (11669207),Mitchell Marner (11669635),Taylor Hall (11669631),Micheal Haley (11670087),Christian Folin (11670713),Ryan Pulock (11670461),Antti Raanta (11671007),Patrick Kane (11669627)
Sidney Crosby (11669201),Nathan MacKinnon (11669191),Drake Batherson (11669845),Micheal Haley (11670087),Brad Marchand (11669677),Shea Theodore (11670437),Sami Vatanen (11670419),Casey DeSmith (11671024),Jake Gardiner (11670497)
Phillip Danault (11669315),Dylan Larkin (11669237),Micheal Haley (11670087),Brad Marchand (11669677),Tom Wilson (11669739),Rasmus Dahlin (11670481),Erik Gudbranson (11670565),Laurent Brossoit (11671008),Elias Pettersson (11669221)
Auston Matthews (11669199),Jonathan Toews (11669249),Andrew Copp (11670005),Kyle Palmieri (11669641),Jordan Eberle (11669793),Mike Green (11670413),Henri Jokiharju (11670551),Laurent Brossoit (11671008),Matthew Tkachuk (11669725)
Mathew Barzal (11669251),Christoffer Ehn (11669615),David Pastrnak (11669623),Vinnie Hinostroza (11669879),Zach Sanford (11669969),Josh Mahura (11670695),Kris Letang (11670369),Laurent Brossoit (11671008),Patrice Bergeron (11669195)
Mikko Koivu (11669223),Vincent Trocheck (11669245),Jonathan Marchessault (11669687),Kyle Connor (11669683),Drake Batherson (11669845),Shea Theodore (11670437),Torey Krug (11670397),Jaroslav Halak (11670974),Josh Mahura (11670695)
Nathan MacKinnon (11669191),John Tavares (11669193),Micheal Haley (11670087),Paul Byron (11669761),Drake Batherson (11669845),John Klingberg (11670389),Alexander Petrovic (11670633),Roberto Luongo (11670991),Jordan Weal (11669335)
Nico Hischier (11669247),Sean Monahan (11669233),Ilya Kovalchuk (11669795),Micheal Haley (11670087),Alexander Radulov (11669633),Eric Gryba (11670709),Brad Hunt (11670575),Laurent Brossoit (11671008),Tomas Plekanec (11669481)
Sean Monahan (11669233),Brendan Gaunce (11669383),Taylor Hall (11669631),Micheal Haley (11670087),Kyle Connor (11669683),Zdeno Chara (11670597),Alex Goligoski (11670439),Linus Ullmark (11671002),Patrik Laine (11669653)
Auston Matthews (11669199),Sidney Crosby (11669201),Jake Virtanen (11669827),Drake Batherson (11669845),Jakob Silfverberg (11669775),Morgan Rielly (11670363),Mark Barberio (11670729),Frederik Andersen (11670971),Conor Sheary (11669801)
Sean Monahan (11669233),Jonathan Toews (11669249),Ryan Reaves (11670113),T.J. Oshie (11669689),David Pastrnak (11669623),Josh Mahura (11670695),Alex Biega (11670595),Pekka Rinne (11670967),Kyle Connor (11669683)
Ryan Johansen (11669267),Auston Matthews (11669199),T.J. Oshie (11669689),Denis Malgin (11670203),Markus Granlund (11669837),John Carlson (11670365),Mike Green (11670413),Laurent Brossoit (11671008),Brandon Montour (11670469)
