C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Marc-Andre Fleury (11670982),Marc-Andre Fleury,11670982,G,7500,VGK@ARI 11/21/2018 09:00PM ET,VGK,4.06
,,,,,,,,,,G,Antti Raanta (11671007),Antti Raanta,11671007,G,7500,VGK@ARI 11/21/2018 09:00PM ET,ARI,5.27
,,,,,,,,,,G,Laurent Brossoit (11671008),Laurent Brossoit,11671008,G,7500,WPG@CGY 11/21/2018 10:00PM ET,WPG,7.85
,,,,,,,,,,C,Jack Eichel (11669203),Jack Eichel,11669203,C/UTIL,7400,PHI@BUF 11/21/2018 07:30PM ET,BUF,4.83
,,,,,,,,,,G,Carey Price (11670983),Carey Price,11670983,G,7400,MON@NJ 11/21/2018 07:00PM ET,MON,3.99
,,,,,,,,,,RW,Alexander Radulov (11669633),Alexander Radulov,11669633,W/UTIL,7400,DAL@PIT 11/21/2018 07:00PM ET,DAL,5.36
,,,,,,,,,,G,Jimmy Howard (11670984),Jimmy Howard,11670984,G,7400,BOS@DET 11/21/2018 07:30PM ET,DET,4.96
,,,,,,,,,,G,Edward Pasquale (11671010),Edward Pasquale,11671010,G,7400,FLA@TB 11/21/2018 07:30PM ET,TB,0
,,,,,,,,,,G,Corey Crawford (11670985),Corey Crawford,11670985,G,7300,CHI@WAS 11/21/2018 07:00PM ET,CHI,4.92
,,,,,,,,,,RW,Mitchell Marner (11669635),Mitchell Marner,11669635,W/UTIL,7300,TOR@CAR 11/21/2018 07:00PM ET,TOR,4.88
,,,,,,,,,,G,Hunter Miska (11671011),Hunter Miska,11671011,G,7300,VGK@ARI 11/21/2018 09:00PM ET,ARI,0.6
,,,,,,,,,,G,Malcolm Subban (11671013),Malcolm Subban,11671013,G,7300,VGK@ARI 11/21/2018 09:00PM ET,VGK,0.8
,,,,,,,,,,C,Mark Scheifele (11669205),Mark Scheifele,11669205,C/UTIL,7300,WPG@CGY 11/21/2018 10:00PM ET,WPG,4.58
,,,,,,,,,,G,Mike Smith (11670986),Mike Smith,11670986,G,7300,WPG@CGY 11/21/2018 10:00PM ET,CGY,2.63
,,,,,,,,,,G,David Rittich (11671012),David Rittich,11671012,G,7300,WPG@CGY 11/21/2018 10:00PM ET,CGY,5.2
,,,,,,,,,,G,Brian Elliott (11671015),Brian Elliott,11671015,G,7200,PHI@BUF 11/21/2018 07:30PM ET,PHI,4.14
,,,,,,,,,,G,Michal Neuvirth (11671016),Michal Neuvirth,11671016,G,7200,PHI@BUF 11/21/2018 07:30PM ET,PHI,-2.8
,,,,,,,,,,G,Antti Niemi (11671014),Antti Niemi,11671014,G,7200,MON@NJ 11/21/2018 07:00PM ET,MON,4.5
,,,,,,,,,,C,Evgeni Malkin (11669207),Evgeni Malkin,11669207,C/UTIL,7200,DAL@PIT 11/21/2018 07:00PM ET,PIT,4.76
,,,,,,,,,,G,Matt Murray (11670988),Matt Murray,11670988,G,7200,DAL@PIT 11/21/2018 07:00PM ET,PIT,2.78
,,,,,,,,,,G,Scott Darling (11670987),Scott Darling,11670987,G,7200,TOR@CAR 11/21/2018 07:00PM ET,CAR,3.57
,,,,,,,,,,G,Jonathan Bernier (11671017),Jonathan Bernier,11671017,G,7200,BOS@DET 11/21/2018 07:30PM ET,DET,4.16
,,,,,,,,,,RW,Blake Wheeler (11669639),Blake Wheeler,11669639,W/UTIL,7200,WPG@CGY 11/21/2018 10:00PM ET,WPG,4.53
,,,,,,,,,,C,Mika Zibanejad (11669209),Mika Zibanejad,11669209,C/UTIL,7100,NYI@NYR 11/21/2018 07:00PM ET,NYR,4.45
,,,,,,,,,,G,Cam Ward (11671018),Cam Ward,11671018,G,7100,CHI@WAS 11/21/2018 07:00PM ET,CHI,3.49
,,,,,,,,,,LW,Filip Forsberg (11669657),Filip Forsberg,11669657,W/UTIL,7100,STL@NSH 11/21/2018 08:00PM ET,NSH,4.43
,,,,,,,,,,G,Craig Anderson (11670989),Craig Anderson,11670989,G,7100,OTT@MIN 11/21/2018 08:00PM ET,OTT,4.41
,,,,,,,,,,G,Calvin Pickard (11670990),Calvin Pickard,11670990,G,7000,PHI@BUF 11/21/2018 07:30PM ET,PHI,1.62
,,,,,,,,,,G,Alex Lyon (11671019),Alex Lyon,11671019,G,7000,PHI@BUF 11/21/2018 07:30PM ET,PHI,0
,,,,,,,,,,RW,Kyle Palmieri (11669641),Kyle Palmieri,11669641,W/UTIL,7000,MON@NJ 11/21/2018 07:00PM ET,NJ,4.55
,,,,,,,,,,G,Casey DeSmith (11671024),Casey DeSmith,11671024,G,7000,DAL@PIT 11/21/2018 07:00PM ET,PIT,3.88
,,,,,,,,,,G,Curtis McElhinney (11671020),Curtis McElhinney,11671020,G,7000,TOR@CAR 11/21/2018 07:00PM ET,CAR,4.17
,,,,,,,,,,G,Petr Mrazek (11671021),Petr Mrazek,11671021,G,7000,TOR@CAR 11/21/2018 07:00PM ET,CAR,2.42
,,,,,,,,,,C,Brayden Point (11669211),Brayden Point,11669211,C/UTIL,7000,FLA@TB 11/21/2018 07:30PM ET,TB,4.62
,,,,,,,,,,G,Roberto Luongo (11670991),Roberto Luongo,11670991,G,7000,FLA@TB 11/21/2018 07:30PM ET,FLA,4.57
,,,,,,,,,,LW,Gabriel Landeskog (11669643),Gabriel Landeskog,11669643,W/UTIL,7000,COL@LA 11/21/2018 10:30PM ET,COL,4.8
,,,,,,,,,,G,Jack Campbell (11671022),Jack Campbell,11671022,G,7000,COL@LA 11/21/2018 10:30PM ET,LA,4.38
,,,,,,,,,,G,Jonathan Quick (11671023),Jonathan Quick,11671023,G,7000,COL@LA 11/21/2018 10:30PM ET,LA,0.4
,,,,,,,,,,RW,Phil Kessel (11669645),Phil Kessel,11669645,W/UTIL,6900,DAL@PIT 11/21/2018 07:00PM ET,PIT,4.82
,,,,,,,,,,C,Sebastian Aho (11669213),Sebastian Aho,11669213,C/UTIL,6900,TOR@CAR 11/21/2018 07:00PM ET,CAR,4.2
,,,,,,,,,,D,Morgan Rielly (11670363),Morgan Rielly,11670363,D/UTIL,6900,TOR@CAR 11/21/2018 07:00PM ET,TOR,5.19
,,,,,,,,,,G,Mike McKenna (11671025),Mike McKenna,11671025,G,6900,OTT@MIN 11/21/2018 08:00PM ET,OTT,0.75
,,,,,,,,,,G,Jacob Markstrom (11670992),Jacob Markstrom,11670992,G,6900,VAN@ANH 11/21/2018 10:00PM ET,VAN,3.85
,,,,,,,,,,G,Richard Bachman (11671026),Richard Bachman,11671026,G,6900,VAN@ANH 11/21/2018 10:00PM ET,VAN,-1.4
,,,,,,,,,,RW,Mikko Rantanen (11669647),Mikko Rantanen,11669647,W/UTIL,6900,COL@LA 11/21/2018 10:30PM ET,COL,5.04
,,,,,,,,,,C,Max Domi (11669215),Max Domi,11669215,C/UTIL,6800,MON@NJ 11/21/2018 07:00PM ET,MON,4.21
,,,,,,,,,,D,John Carlson (11670365),John Carlson,11670365,D/UTIL,6800,CHI@WAS 11/21/2018 07:00PM ET,WAS,4.74
,,,,,,,,,,RW,Mike Hoffman (11669649),Mike Hoffman,11669649,W/UTIL,6800,FLA@TB 11/21/2018 07:30PM ET,FLA,4.5
,,,,,,,,,,G,James Reimer (11671028),James Reimer,11671028,G,6800,FLA@TB 11/21/2018 07:30PM ET,FLA,2.78
,,,,,,,,,,G,Jake Allen (11670993),Jake Allen,11670993,G,6800,STL@NSH 11/21/2018 08:00PM ET,STL,3.27
,,,,,,,,,,RW,Mark Stone (11669651),Mark Stone,11669651,W/UTIL,6800,OTT@MIN 11/21/2018 08:00PM ET,OTT,4.29
,,,,,,,,,,G,Peter Budaj (11670994),Peter Budaj,11670994,G,6800,COL@LA 11/21/2018 10:30PM ET,LA,0
,,,,,,,,,,G,Calvin Petersen (11671027),Calvin Petersen,11671027,G,6800,COL@LA 11/21/2018 10:30PM ET,LA,6.3
,,,,,,,,,,C,Nicklas Backstrom (11669217),Nicklas Backstrom,11669217,C/UTIL,6700,CHI@WAS 11/21/2018 07:00PM ET,WAS,3.84
,,,,,,,,,,LW,Evgenii Dadonov (11669655),Evgenii Dadonov,11669655,W/UTIL,6700,FLA@TB 11/21/2018 07:30PM ET,FLA,4.25
,,,,,,,,,,D,Roman Josi (11670367),Roman Josi,11670367,D/UTIL,6700,STL@NSH 11/21/2018 08:00PM ET,NSH,4.14
,,,,,,,,,,G,Chad Johnson (11671029),Chad Johnson,11671029,G,6700,STL@NSH 11/21/2018 08:00PM ET,STL,3.49
,,,,,,,,,,G,Anders Nilsson (11671030),Anders Nilsson,11671030,G,6700,VAN@ANH 11/21/2018 10:00PM ET,VAN,4.33
,,,,,,,,,,RW,Patrik Laine (11669653),Patrik Laine,11669653,W/UTIL,6700,WPG@CGY 11/21/2018 10:00PM ET,WPG,4.56
,,,,,,,,,,LW,Jamie Benn (11669659),Jamie Benn,11669659,W/UTIL,6600,DAL@PIT 11/21/2018 07:00PM ET,DAL,3.81
,,,,,,,,,,D,Kris Letang (11670369),Kris Letang,11670369,D/UTIL,6600,DAL@PIT 11/21/2018 07:00PM ET,PIT,4.39
,,,,,,,,,,C,Steven Stamkos (11669219),Steven Stamkos,11669219,C/UTIL,6600,FLA@TB 11/21/2018 07:30PM ET,TB,3.62
,,,,,,,,,,RW,Mikael Granlund (11669637),Mikael Granlund,11669637,W/UTIL,6600,OTT@MIN 11/21/2018 08:00PM ET,MIN,3.71
,,,,,,,,,,LW,Jeff Skinner (11669661),Jeff Skinner,11669661,W/UTIL,6500,PHI@BUF 11/21/2018 07:30PM ET,BUF,4.64
,,,,,,,,,,G,Carter Hart (11671048),Carter Hart,11671048,G,6500,PHI@BUF 11/21/2018 07:30PM ET,PHI,0
,,,,,,,,,,G,Scott Wedgewood (11671066),Scott Wedgewood,11671066,G,6500,PHI@BUF 11/21/2018 07:30PM ET,BUF,0
,,,,,,,,,,G,Ukko-Pekka Luukkonen (11671067),Ukko-Pekka Luukkonen,11671067,G,6500,PHI@BUF 11/21/2018 07:30PM ET,BUF,0
,,,,,,,,,,G,Charlie Lindgren (11671038),Charlie Lindgren,11671038,G,6500,MON@NJ 11/21/2018 07:00PM ET,MON,0
,,,,,,,,,,G,Eddie Lack (11671043),Eddie Lack,11671043,G,6500,MON@NJ 11/21/2018 07:00PM ET,NJ,0
,,,,,,,,,,G,MacKenzie Blackwood (11671044),MacKenzie Blackwood,11671044,G,6500,MON@NJ 11/21/2018 07:00PM ET,NJ,0
,,,,,,,,,,G,Christopher Gibson (11671054),Christopher Gibson,11671054,G,6500,NYI@NYR 11/21/2018 07:00PM ET,NYI,0
,,,,,,,,,,G,Linus Soderstrom (11671055),Linus Soderstrom,11671055,G,6500,NYI@NYR 11/21/2018 07:00PM ET,NYI,0
,,,,,,,,,,G,Marek Mazanec (11671064),Marek Mazanec,11671064,G,6500,NYI@NYR 11/21/2018 07:00PM ET,NYR,0
,,,,,,,,,,G,Tristan Jarry (11671061),Tristan Jarry,11671061,G,6500,DAL@PIT 11/21/2018 07:00PM ET,PIT,0
,,,,,,,,,,G,Colton Point (11671070),Colton Point,11671070,G,6500,DAL@PIT 11/21/2018 07:00PM ET,DAL,0
,,,,,,,,,,G,Landon Bow (11671071),Landon Bow,11671071,G,6500,DAL@PIT 11/21/2018 07:00PM ET,DAL,0
,,,,,,,,,,G,Anton Forsberg (11671032),Anton Forsberg,11671032,G,6500,CHI@WAS 11/21/2018 07:00PM ET,CHI,0
,,,,,,,,,,G,Collin Delia (11671033),Collin Delia,11671033,G,6500,CHI@WAS 11/21/2018 07:00PM ET,CHI,0
,,,,,,,,,,G,Ilya Samsonov (11671040),Ilya Samsonov,11671040,G,6500,CHI@WAS 11/21/2018 07:00PM ET,WAS,0
,,,,,,,,,,G,Vitek Vanecek (11671041),Vitek Vanecek,11671041,G,6500,CHI@WAS 11/21/2018 07:00PM ET,WAS,0
,,,,,,,,,,G,Alex Nedeljkovic (11671052),Alex Nedeljkovic,11671052,G,6500,TOR@CAR 11/21/2018 07:00PM ET,CAR,0
