C,C,W,W,W,D,D,G,UTIL,Salary,Projection
Ryan O'Reilly (11669227),Jordan Staal (11669269),Matthew Tkachuk (11669725),David Pastrnak (11669623),Drake Batherson (11669845),Connor Carrick (11670569),Danny DeKeyser (11670689),Laurent Brossoit (11671008),Anthony Mantha (11669811),46500,36.81
Auston Matthews (11669199),Bo Horvat (11669243),Pat Maroon (11669975),Tom Wilson (11669739),Anders Lee (11669693),Alex Biega (11670595),Ryan Pulock (11670461),Laurent Brossoit (11671008),Matt Duchene (11669229),48800,36.78
Jonathan Toews (11669249),Nathan MacKinnon (11669191),Troy Brouwer (11670109),Devin Shore (11669853),Jonathan Marchessault (11669687),Ben Lovejoy (11670557),Morgan Rielly (11670363),Laurent Brossoit (11671008),Elias Lindholm (11669701),49700,36.73
Mark Scheifele (11669205),William Karlsson (11669275),Blake Wheeler (11669639),Jordan Martinook (11669859),Micheal Haley (11670087),Mark Giordano (11670375),Ian Cole (11670443),Laurent Brossoit (11671008),Dylan DeMelo (11670603),47100,36.69
Ryan O'Reilly (11669227),Bo Horvat (11669243),Jimmy Vesey (11669823),Drake Batherson (11669845),Filip Forsberg (11669657),Josh Mahura (11670695),Nikita Zaitsev (11670657),Frederik Andersen (11670971),Zach Parise (11669669),47300,36.65
Auston Matthews (11669199),Aleksander Barkov (11669239),Patrik Laine (11669653),Micheal Haley (11670087),Tyler Toffoli (11669841),Cody Ceci (11670453),Charlie McAvoy (11670399),Ben Bishop (11670978),Neal Pionk (11670407),49800,36.63
Brad Richardson (11669317),Dylan Larkin (11669237),Drake Batherson (11669845),Patrik Laine (11669653),Vladimir Tarasenko (11669663),Adam Pelech (11670541),Mark Giordano (11670375),Laurent Brossoit (11671008),Jeremy Lauzon (11670649),47200,36.6
Auston Matthews (11669199),Aleksander Barkov (11669239),Zach Parise (11669669),Brendan Leipsic (11669903),Micheal Haley (11670087),Mike Reilly (11670675),Jeff Petry (11670417),Pekka Rinne (11670967),Micheal Ferland (11669709),47900,36.56
Auston Matthews (11669199),Nathan MacKinnon (11669191),Tom Wilson (11669739),Brendan Perlini (11669983),Jonathan Marchessault (11669687),Mike Reilly (11670675),Mike Matheson (11670457),Laurent Brossoit (11671008),Rasmus Dahlin (11670481),48900,36.54
Jonathan Toews (11669249),Auston Matthews (11669199),Jakub Voracek (11669723),Mike Hoffman (11669649),Zach Sanford (11669969),P.K. Subban (11670409),Igor Ozhiganov (11670807),Laurent Brossoit (11671008),Ryan O'Reilly (11669227),49900,36.54
Auston Matthews (11669199),Chris Tierney (11669293),Jonathan Marchessault (11669687),Elias Lindholm (11669701),Richard Panik (11669871),P.K. Subban (11670409),Anton Stralman (11670495),Laurent Brossoit (11671008),Brayden Schenn (11669763),48800,36.4
John Tavares (11669193),Ryan O'Reilly (11669227),Dominik Kahun (11669921),Micheal Haley (11670087),Matthew Tkachuk (11669725),Shayne Gostisbehere (11670379),Marc Staal (11670659),Devan Dubnyk (11670972),Mitchell Marner (11669635),49800,36.37
Anze Kopitar (11669283),Tyler Seguin (11669197),Alexander Radulov (11669633),Mark Stone (11669651),Denis Malgin (11670203),Mattias Ekholm (11670477),Chris Butler (11670843),Laurent Brossoit (11671008),Bo Horvat (11669243),49100,36.36
Patrice Bergeron (11669195),Evgeny Kuznetsov (11669241),T.J. Oshie (11669689),Alexander Radulov (11669633),Ondrej Kase (11669741),Casey Nelson (11670781),Jeff Petry (11670417),Calvin Petersen (11671027),Brian Boyle (11669347),49900,36.25
Matt Duchene (11669229),Nathan MacKinnon (11669191),Jake DeBrusk (11669743),Tyler Johnson (11669729),Anthony Mantha (11669811),Nick Jensen (11670627),Morgan Rielly (11670363),Garret Sparks (11670999),Micheal Haley (11670087),49300,36.21
Auston Matthews (11669199),Nic Dowd (11669463),Michael Frolik (11669885),Alexander Radulov (11669633),Mitchell Marner (11669635),Radko Gudas (11670483),Ryan McDonagh (11670415),Laurent Brossoit (11671008),Alexander Steen (11669779),49700,36.18
Dylan Larkin (11669237),Sean Monahan (11669233),Claude Giroux (11669665),Drake Batherson (11669845),Johnny Gaudreau (11669695),Jan Rutta (11670639),Aaron Ekblad (11670509),Laurent Brossoit (11671008),Denis Gurianov (11670275),45100,36.15
Nathan MacKinnon (11669191),Sean Couturier (11669231),Micheal Haley (11670087),Patrik Laine (11669653),Anders Lee (11669693),Ben Harpur (11670803),Josh Morrissey (11670485),Laurent Brossoit (11671008),Noah Hanifin (11670513),47600,36.07
Tomas Plekanec (11669481),Dylan Larkin (11669237),Patrik Laine (11669653),Johnny Gaudreau (11669695),Ondrej Palat (11669865),Jakob Chychrun (11670519),Alexander Edler (11670387),Laurent Brossoit (11671008),Mitchell Marner (11669635),49200,36.05
Mathew Barzal (11669251),Anze Kopitar (11669283),Oskar Lindblom (11669833),Jeff Skinner (11669661),Mikko Rantanen (11669647),Rasmus Ristolainen (11670431),Brett Pesce (11670523),Laurent Brossoit (11671008),Micheal Haley (11670087),46200,36.05
Nazem Kadri (11669257),Bo Horvat (11669243),Elias Lindholm (11669701),Nick Ritchie (11669915),Alexander Radulov (11669633),Josh Mahura (11670695),Christopher Tanev (11670651),Laurent Brossoit (11671008),Blake Wheeler (11669639),47900,36.04
Max Domi (11669215),Mathew Barzal (11669251),Andreas Athanasiou (11669681),Wayne Simmonds (11669755),Micheal Haley (11670087),Jake Gardiner (11670497),Torey Krug (11670397),Calvin Petersen (11671027),Patrick Kane (11669627),49900,36.03
Tanner Fritz (11669493),Evgeni Malkin (11669207),Mitchell Marner (11669635),Taylor Hall (11669631),Micheal Haley (11670087),Christian Folin (11670713),Ryan Pulock (11670461),Antti Raanta (11671007),Patrick Kane (11669627),49500,35.96
Sidney Crosby (11669201),Nathan MacKinnon (11669191),Drake Batherson (11669845),Micheal Haley (11670087),Brad Marchand (11669677),Shea Theodore (11670437),Sami Vatanen (11670419),Casey DeSmith (11671024),Jake Gardiner (11670497),48900,35.95
Phillip Danault (11669315),Dylan Larkin (11669237),Micheal Haley (11670087),Brad Marchand (11669677),Tom Wilson (11669739),Rasmus Dahlin (11670481),Erik Gudbranson (11670565),Laurent Brossoit (11671008),Elias Pettersson (11669221),45300,35.93
Auston Matthews (11669199),Jonathan Toews (11669249),Andrew Copp (11670005),Kyle Palmieri (11669641),Jordan Eberle (11669793),Mike Green (11670413),Henri Jokiharju (11670551),Laurent Brossoit (11671008),Matthew Tkachuk (11669725),49100,35.85
Mathew Barzal (11669251),Christoffer Ehn (11669615),David Pastrnak (11669623),Vinnie Hinostroza (11669879),Zach Sanford (11669969),Josh Mahura (11670695),Kris Letang (11670369),Laurent Brossoit (11671008),Patrice Bergeron (11669195),47400,35.85
Mikko Koivu (11669223),Vincent Trocheck (11669245),Jonathan Marchessault (11669687),Kyle Connor (11669683),Drake Batherson (11669845),Shea Theodore (11670437),Torey Krug (11670397),Jaroslav Halak (11670974),Josh Mahura (11670695),49000,35.83
Nathan MacKinnon (11669191),John Tavares (11669193),Micheal Haley (11670087),Paul Byron (11669761),Drake Batherson (11669845),John Klingberg (11670389),Alexander Petrovic (11670633),Roberto Luongo (11670991),Jordan Weal (11669335),46700,35.83
Nico Hischier (11669247),Sean Monahan (11669233),Ilya Kovalchuk (11669795),Micheal Haley (11670087),Alexander Radulov (11669633),Eric Gryba (11670709),Brad Hunt (11670575),Laurent Brossoit (11671008),Tomas Plekanec (11669481),42200,35.82
Sean Monahan (11669233),Brendan Gaunce (11669383),Taylor Hall (11669631),Micheal Haley (11670087),Kyle Connor (11669683),Zdeno Chara (11670597),Alex Goligoski (11670439),Linus Ullmark (11671002),Patrik Laine (11669653),47500,35.8
Auston Matthews (11669199),Sidney Crosby (11669201),Jake Virtanen (11669827),Drake Batherson (11669845),Jakob Silfverberg (11669775),Morgan Rielly (11670363),Mark Barberio (11670729),Frederik Andersen (11670971),Conor Sheary (11669801),49900,35.79
Sean Monahan (11669233),Jonathan Toews (11669249),Ryan Reaves (11670113),T.J. Oshie (11669689),David Pastrnak (11669623),Josh Mahura (11670695),Alex Biega (11670595),Pekka Rinne (11670967),Kyle Connor (11669683),48900,35.78
Ryan Johansen (11669267),Auston Matthews (11669199),T.J. Oshie (11669689),Denis Malgin (11670203),Markus Granlund (11669837),John Carlson (11670365),Mike Green (11670413),Laurent Brossoit (11671008),Brandon Montour (11670469),48700,35.76
Alex Galchenyuk (11669261),Jordan Staal (11669269),Alexander Radulov (11669633),Filip Forsberg (11669657),Micheal Haley (11670087),Cam Fowler (11670383),Morgan Rielly (11670363),Roberto Luongo (11670991),Trevor Lewis (11670015),49500,35.75
John Tavares (11669193),Ryan Johansen (11669267),Alex Ovechkin (11669625),Evgenii Dadonov (11669655),Drake Batherson (11669845),Brooks Orpik (11670613),Marco Scandella (11670631),Laurent Brossoit (11671008),Lawson Crouse (11670043),47500,35.74
Tyler Seguin (11669197),Auston Matthews (11669199),Phillip Di Giuseppe (11670021),Micheal Haley (11670087),Carl Hagelin (11669989),Oliver Ekman-Larsson (11670429),Keith Yandle (11670373),Antti Raanta (11671007),Sidney Crosby (11669201),49900,35.73
J.T. Compher (11669289),Sidney Crosby (11669201),Andrew Shaw (11669787),Micheal Haley (11670087),Evgenii Dadonov (11669655),Luca Sbisa (11670785),Tyson Barrie (11670425),Andrei Vasilevskiy (11671001),David Pastrnak (11669623),49300,35.73
Mikko Koivu (11669223),Kyle Turris (11669299),Micheal Haley (11670087),Brady Tkachuk (11669705),Mike Hoffman (11669649),Adam Pelech (11670541),Scott Mayfield (11670531),Laurent Brossoit (11671008),Travis Hamonic (11670427),45300,35.69
Tyler Seguin (11669197),Artem Anisimov (11669333),Micheal Ferland (11669709),Ryan Dzingel (11669707),Jonathan Marchessault (11669687),Jared Spurgeon (11670455),Josh Mahura (11670695),Laurent Brossoit (11671008),Michael Grabner (11669767),48400,35.69
Auston Matthews (11669199),Alex Galchenyuk (11669261),Tom Wilson (11669739),Brendan Perlini (11669983),Phil Kessel (11669645),Mike Matheson (11670457),Charlie McAvoy (11670399),Laurent Brossoit (11671008),Rasmus Dahlin (11670481),49400,35.68
Jay Beagle (11669429),Vincent Trocheck (11669245),Viktor Arvidsson (11669715),Brett Connolly (11669965),Mikko Rantanen (11669647),Thomas Chabot (11670371),Dan Girardi (11670587),Laurent Brossoit (11671008),Patrick Kane (11669627),48700,35.66
Auston Matthews (11669199),Mathew Barzal (11669251),Matthew Tkachuk (11669725),Travis Konecny (11669733),Johnny Gaudreau (11669695),Ben Hutton (11670543),Andy Greene (11670507),Laurent Brossoit (11671008),Artturi Lehkonen (11669803),49100,35.65
John Tavares (11669193),Mika Zibanejad (11669209),Gabriel Landeskog (11669643),Matthew Tkachuk (11669725),Bryan Rust (11670013),Roman Josi (11670367),MacKenzie Weegar (11670727),Laurent Brossoit (11671008),Nikita Zaitsev (11670657),49900,35.65
Jared McCann (11669401),Derek Stepan (11669277),Ben Street (11670103),Blake Wheeler (11669639),Claude Giroux (11669665),Jacob Trouba (11670451),Thomas Chabot (11670371),Laurent Brossoit (11671008),Alex Ovechkin (11669625),49900,35.65
John Tavares (11669193),Ryan O'Reilly (11669227),Alexander Steen (11669779),Tyler Pitlick (11669981),Kenny Agostino (11670035),Keith Yandle (11670373),Jeff Petry (11670417),Laurent Brossoit (11671008),Matthew Tkachuk (11669725),48800,35.64
Alexander Kerfoot (11669291),Brian Boyle (11669347),Drake Batherson (11669845),Kevin Fiala (11669877),Elias Lindholm (11669701),Kris Letang (11670369),Mark Giordano (11670375),Andrei Vasilevskiy (11671001),Brayden Point (11669211),48600,35.64
Jonathan Toews (11669249),Brayden Point (11669211),Adam Erne (11669947),Micheal Ferland (11669709),Drake Batherson (11669845),Johnny Boychuk (11670475),John Carlson (11670365),David Rittich (11671012),Matt Duchene (11669229),49600,35.64
Auston Matthews (11669199),Anze Kopitar (11669283),Micheal Haley (11670087),Andrew Shaw (11669787),Jason Zucker (11669667),Connor Carrick (11670569),Dustin Byfuglien (11670377),Calvin Petersen (11671027),Jonathan Drouin (11669673),48500,35.63
Matt Cullen (11669397),Alexander Kerfoot (11669291),Gustav Nyquist (11669797),Phil Kessel (11669645),Mitchell Marner (11669635),Kris Letang (11670369),John Klingberg (11670389),Jaroslav Halak (11670974),Drake Batherson (11669845),49900,35.62
Brayden Point (11669211),Evgeny Kuznetsov (11669241),Charles Hudon (11670105),Mitchell Marner (11669635),Micheal Haley (11670087),Andy Greene (11670507),Keith Yandle (11670373),Louis Domingue (11670980),Claude Giroux (11669665),49500,35.6
Brayden Point (11669211),David Kampf (11669363),Blake Wheeler (11669639),Jesper Fast (11669881),Taylor Hall (11669631),Jaccob Slavin (11670445),Josh Mahura (11670695),Laurent Brossoit (11671008),Alex Tuch (11669679),49400,35.58
Auston Matthews (11669199),Cody Eakin (11669273),Micheal Haley (11670087),Teuvo Teravainen (11669731),James Neal (11669857),Alex Goligoski (11670439),Morgan Rielly (11670363),Ben Bishop (11670978),Aleksander Barkov (11669239),49300,35.57
Evgeni Malkin (11669207),Patrice Bergeron (11669195),Micheal Haley (11670087),Alexander Radulov (11669633),Blake Wheeler (11669639),Ryan Pulock (11670461),Carl Gunnarsson (11670783),Corey Crawford (11670985),Christopher Tanev (11670651),49600,35.57
Brayden Point (11669211),Casey Cizikas (11669349),Tyler Motte (11670041),Jake Guentzel (11669765),Brayden Schenn (11669763),Ron Hainsey (11670535),Kris Letang (11670369),Laurent Brossoit (11671008),David Pastrnak (11669623),48500,35.56
Derick Brassard (11669339),Patrice Bergeron (11669195),Alex Ovechkin (11669625),Jonathan Marchessault (11669687),Zach Sanford (11669969),Kris Letang (11670369),Jacob Trouba (11670451),Laurent Brossoit (11671008),Isac Lundestrom (11669613),49300,35.55
Tomas Plekanec (11669481),Auston Matthews (11669199),Taylor Hall (11669631),Jesper Bratt (11669843),Drake Batherson (11669845),Brad Hunt (11670575),Colton Parayko (11670491),Pekka Rinne (11670967),Neal Pionk (11670407),46500,35.52
Patrice Bergeron (11669195),John Tavares (11669193),Micheal Haley (11670087),Brett Connolly (11669965),Dryden Hunt (11670045),Alex Pietrangelo (11670391),P.K. Subban (11670409),Braden Holtby (11670975),Jonathan Marchessault (11669687),48600,35.52
Nicklas Backstrom (11669217),Brayden Point (11669211),Micheal Haley (11670087),Bobby Ryan (11669815),Chandler Stephenson (11670029),Kris Letang (11670369),Trevor van Riemsdyk (11670629),Laurent Brossoit (11671008),Dylan Larkin (11669237),46200,35.51
Adam Lowry (11669387),Nathan MacKinnon (11669191),Drake Batherson (11669845),Micheal Haley (11670087),Colton Sceviour (11669993),Drew Doughty (11670465),Deryk Engelland (11670697),Laurent Brossoit (11671008),Bo Horvat (11669243),40700,35.5
Mika Zibanejad (11669209),Matt Duchene (11669229),Jeff Skinner (11669661),Micheal Haley (11670087),Jake Guentzel (11669765),Colin Miller (11670467),Torey Krug (11670397),Jimmy Howard (11670984),Esa Lindell (11670463),48700,35.5
Sean Monahan (11669233),Evgeni Malkin (11669207),Patrik Laine (11669653),Brady Tkachuk (11669705),Devante Smith-Pelly (11669971),Nathan Beaulieu (11670635),Matt Dumba (11670381),Laurent Brossoit (11671008),Tyler Bertuzzi (11669873),48700,35.49
John Tavares (11669193),Auston Matthews (11669199),Jesper Bratt (11669843),David Pastrnak (11669623),Austin Czarnik (11670017),Brad Hunt (11670575),Madison Bowey (11670703),Laurent Brossoit (11671008),Brandon Tanev (11669925),47100,35.46
Jonathan Toews (11669249),Nico Hischier (11669247),Adam Erne (11669947),Brady Tkachuk (11669705),David Pastrnak (11669623),Victor Hedman (11670401),Jacob Larsson (11670687),Laurent Brossoit (11671008),Ryan Dzingel (11669707),49700,35.45
William Karlsson (11669275),Sebastian Aho (11669213),Dmitrij Jaskin (11670115),Warren Foegele (11669995),Drake Batherson (11669845),Alex Pietrangelo (11670391),Morgan Rielly (11670363),Laurent Brossoit (11671008),Jonathan Marchessault (11669687),46800,35.45
Brock Nelson (11669259),Jared McCann (11669401),Drake Batherson (11669845),Patric Hornqvist (11669719),Zach Parise (11669669),Thomas Chabot (11670371),Justin Schultz (11670533),Garret Sparks (11670999),Sean Monahan (11669233),47900,35.43
Brett Howden (11669329),Nathan MacKinnon (11669191),Justin Abdelkader (11669935),Jonathan Marchessault (11669687),Tom Wilson (11669739),Rasmus Ristolainen (11670431),Kris Letang (11670369),Laurent Brossoit (11671008),Ben Chiarot (11670653),47700,35.43
Ryan O'Reilly (11669227),Danick Martel (11669377),Mitchell Marner (11669635),Brayden Schenn (11669763),Drake Batherson (11669845),Brendan Smith (11670711),Erik Gustafsson (11670525),Laurent Brossoit (11671008),Jeff Skinner (11669661),45700,35.42
Nathan MacKinnon (11669191),Matt Duchene (11669229),Calle Jarnkrok (11669809),Matt Calvert (11669897),Taylor Hall (11669631),Morgan Rielly (11670363),Danny DeKeyser (11670689),Laurent Brossoit (11671008),Sean Kuraly (11669415),49100,35.41
Juho Lammikko (11669469),Dylan Larkin (11669237),Micheal Haley (11670087),Claude Giroux (11669665),Gabriel Landeskog (11669643),Rasmus Ristolainen (11670431),Brad Hunt (11670575),Andrei Vasilevskiy (11671001),Bo Horvat (11669243),46100,35.41
Alex Galchenyuk (11669261),Auston Matthews (11669199),Pat Maroon (11669975),Anders Lee (11669693),Kyle Okposo (11669813),Morgan Rielly (11670363),Ben Hutton (11670543),Laurent Brossoit (11671008),Chris Butler (11670843),46400,35.39
Patrice Bergeron (11669195),Anze Kopitar (11669283),Mitchell Marner (11669635),Micheal Haley (11670087),Pontus Aberg (11669791),Erik Johnson (11670501),Mark Pysyk (11670671),Laurent Brossoit (11671008),Bobby Ryan (11669815),45500,35.38
John Tavares (11669193),Dylan Larkin (11669237),Phil Kessel (11669645),Yanni Gourde (11669697),Drake Batherson (11669845),Radko Gudas (11670483),Jon Merrill (11670731),Calvin Petersen (11671027),David Perron (11669839),48100,35.37
Matt Duchene (11669229),Nathan MacKinnon (11669191),Brett Connolly (11669965),Oskar Sundqvist (11669927),Taylor Hall (11669631),Mark Giordano (11670375),Luke Witkowski (11670757),Calvin Petersen (11671027),Brady Tkachuk (11669705),49200,35.37
Sidney Crosby (11669201),Artem Anisimov (11669333),Micheal Haley (11670087),Drake Batherson (11669845),Gabriel Landeskog (11669643),Morgan Rielly (11670363),Drew Doughty (11670465),Jack Campbell (11671022),Jacob Larsson (11670687),45700,35.37
Kevin Hayes (11669263),Jesperi Kotkaniemi (11669327),Brady Tkachuk (11669705),Charles Hudon (11670105),Alex Tuch (11669679),Brady Skjei (11670489),Thomas Chabot (11670371),Laurent Brossoit (11671008),Patrick Kane (11669627),48700,35.36
